Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
FRA	GERMANY		PFRA4487	Standalone	gigabitethernet0/0/1	MEA	1000000	1000000			FI029LRAF2		FRAT10	EQUINIX	CA0EED0ZB6				airporthubnet		APH
FRU	KYRGYZSTAN		PFRU074	Primary	gigabitethernet0/0/1	MEA	100000	4000			FI01XEUUEA		FRUD01	-	CID-010-061				airporthubnet		APH
FRU	KYRGYZSTAN		PFRU075	Secondary	gigabitethernet0/0/1	MEA	100000	4000			FI01XEUXE7		FRUD02	OBS RUSSIA	CID-010-062				airporthubnet		APH
FUK	JAPAN		PFUK071	Primary	gigabitethernet0/0/1	MEA	10000	10000	-	-	FI00Y1VXCB	KOKO512	TYOT04						airporthubnet		APH
FUK	JAPAN		PFUK072	Secondary	gigabitethernet0/0/1	MEA	100000	10000	-	-	FI022AXYC4	port-channel1	OSAT04						airporthubnet		APH
GDL	MEXICO		PGDL159	Primary	gigabitethernet0/1	MEA	10000	10000			FI0298F7BC		MTYL01	AXTEL S.A. DE C.V.	ETAA000244754				airporthubnet		APH
GDL	MEXICO		PGDL160	Secondary	gigabitethernet0/0/1	MEA	30000				FI0239KZD4		MTYL01	AXTEL S.A. DE C.V.	CA0DQ1QR94				airporthubnet		APH
GDL	MEXICO		PGDL160	Secondary	gigabitethernet0/1	MEA	100000	30000			FI0298FACA		MEXT02	AXTEL S.A. DE C.V.	ETAA000244751				airporthubnet		APH
GEO	GUYANA		PGEO062	Primary	gigabitethernet0/0/1	MEA	10000	6000			FI0289BYD4		MIAL02	-	7038025857				airporthubnet		APH
GEO	GUYANA		PGEO063	Secondary	gigabitethernet0/0/1	DSL	16384	10000			FI01U8FVE4		ATLL02	-	ORD-70401379.1				airporthubnet		APH
GIG	BRAZIL		PGIG075	Primary	gigabitethernet0/2	MEA	100000	100000			FI029VNRBE		SAOL02						airporthubnet		APH
GIG	BRAZIL		PGIG075	Primary	serial1/0	FR	34010				FI028NX48B		RIOL01	CLARO S.A.	CA0EBW69BF				airporthubnet		APH
GIG	BRAZIL		PGIG076	Secondary	gigabitethernet0/2	MEA	100000	40000			FI029VNSBF		RIOL02						airporthubnet		APH
GIG	BRAZIL		PGIG076	Secondary	gigabitethernet0/2/0	MEA	100000	100000			FI029DJZDA		RIOL02	CLARO S.A.	RJO HK6 RJO AY3 DP*V 0002				airporthubnet		APH
GLA	UNITED KINGDOM		PGLA289	Secondary	fastethernet2/0	MEA	100000				FI01N01XD9		BHXX01	VODAFONE CARRIER SERVICES	EAGE01931948				airporthubnet		APH
GLA	UNITED KINGDOM		PGLA290	Primary	fastethernet3/0	MEA	100000	35000	-	-	FI01YLAYD3	KQQT650	LONX03	VODAFONE CARRIER SERVICES	ONEA55428490				airporthubnet		APH
GMP	KOREA, REPUBLIC OF		PGMP028	Primary	gigabitethernet0/1	MEA	10000	4000	-	-	FI01F4RKD2	KSEL521	SELT02	SK BROADBAND	SELSEL028				airporthubnet		APH
GMP	KOREA, REPUBLIC OF		PGMP029	Secondary	gigabitethernet0/1	MEA	10000	4000	f4:4e:05:8e:a7:c1	-	FI01F4RMD4	KSEL516	SELX01	POLO TELECOM					airporthubnet		APH
GNB	FRANCE		PGNB622	Primary	gigabitethernet9	DSL	8192	8192			GO076K5EB0		FRAT01	SELECT OFFNET	CA0C4KGRE1				airporthubnet		APH
GNB	FRANCE		PGNB623	Secondary	gigabitethernet9	DSL	8192	8192			GO076K5GB2		FRAT01	SELECT OFFNET	CA0C4KHXEB				airporthubnet		APH
GND	GRENADA		PGND035	Primary	gigabitethernet0/1	MEA	10000	10000			FI01Q2MZD7		MIAL02	COLUMBUS NETWORKS	9449.CN				airporthubnet		APH
GND	GRENADA		PGND036	Secondary	gigabitethernet0/1	DSL	16384	12000			FI01NBYPFD		ATLL02	SELECT OFFNET	CA0AZJFMD6				airporthubnet		APH
GOA	ITALY		PGOA306	Primary	gigabitethernet0/0/1	MEA	100000	100000			FI01RN7PD6		MILX01						airporthubnet		APH
GOA	ITALY		PGOA307	Secondary	gigabitethernet0/0/1	DSL	8000	8000					LONX03	Select Offnet					airporthubnet		APH
GRU	BRAZIL		PGRU077	Primary	gigabitethernet0/1	MEA	1000000	100000			FI029T07D4		SAOL02	TELEFONICA BRAZIL	11892 24121242				airporthubnet		APH
GRU	BRAZIL		PGRU078	Secondary	gigabitethernet0/1	MEA	100000	100000	-	-	FI029T0FA5	KSAO614	SAOL01	EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA	GTSRO-S-182804				airporthubnet		APH
GRZ	AUSTRIA		PGRZ286	Primary	gigabitethernet8	DSL	15000	2000			FI01K71TC4		FRAX01	Select Offnet	CA0C6L3DE5				airporthubnet		APH
GRZ	AUSTRIA		PGRZ287	Secondary	gigabitethernet9	DSL	15000	2000			FI01K71ED5		FRAT01	Select Offnet	CA0BJ1KXE6				airporthubnet		APH
GUA	GUATEMALA		PGUA329	Primary	gigabitethernet0/1	MEA	100000	20000			FI01Q58RCE		MIAL01	UFINET TELECOM S.A.U	GTUS00210221				airporthubnet		APH
GUA	GUATEMALA		PGUA330	Secondary	gigabitethernet0/1	DSL	51200	40000			FI01Q58TC8		ATLL02	SELECT OFFNET	STA.502.D001				airporthubnet		APH
GUM	GUAM		PGUM096	Primary	gigabitethernet0/0/1	MEA	100000	4000			FI01XCH79C		GUMT02	-	525-0012				airporthubnet		APH
GUM	GUAM		PGUM097	Secondary	gigabitethernet0/0/1	DSL	8192	4000					HKGT01	Select Offnet					airporthubnet		APH
GVA	SWITZERLAND		PGVA610	Primary	gigabitethernet0/0/1	MEA	100000	50000	-	-	FI029EE7B2	KGVA513	GVAT02						airporthubnet		APH
GVA	SWITZERLAND		PGVA611	Secondary	gigabitethernet0/0/1	MEA	100000	20000	-	-	FI029EE9BC	KGVA616	GVAX01						airporthubnet		APH
GYD	AZERBAIJAN		PGYD002	Primary	gigabitethernet0/1	MEA	4000				FI0231LNF3		BAKD01	OBS RUSSIA	CID-010-563				airporthubnet		APH
GYD	AZERBAIJAN		PGYD003	Secondary	gigabitethernet0/1	DSL	12288	12000			FI01CZ1QAF		FRAT01	Expereo	ORD-76358066				airporthubnet		APH
GYE	ECUADOR		PGYE102	Primary	fastethernet0/1	MEA	8192	8000			FI01H6SUC0		SINX01	LEVEL 3-US	CA0DPMG1FF				airporthubnet		APH
GYE	ECUADOR		PGYE103	Secondary	gigabitethernet0/0/1	DSL	100000				FI00FH6KCE		ATLL02	-	CA0CRKG187				airporthubnet		APH
HAH	COMOROS		PHAH009	Primary	gigabitethernet8	DSL	8192	2000			FI01VVHN9B		LONT04	-	CA0C2ZTF93				airporthubnet		APH
HAH	COMOROS		PHAH010	Secondary	gigabitethernet8	DSL	8192	2000			FI01VVHR87		FRAT01	-	CA0D2BFVBC				airporthubnet		APH
HAJ	GERMANY		PHAJ117	Primary	gigabitethernet0/0/1	MEA	1000000	10000			FI028FDDC8		FRAX01						airporthubnet		APH
HAJ	GERMANY		PHAJ118	Secondary	gigabitethernet0/0/1	MEA	1000000	10000			FI028K7697		DUST01	DT WHOLESALE	447/WEV/51100/51100/105V				airporthubnet		APH
HAM	GERMANY		PHAM461	Primary	gigabitethernet0/0/1	MEA	100000				FI01WU2A9D		DUST01	DT WHOLESALE	447/WEV/40000/40000/233V				airporthubnet		APH
HAM	GERMANY		PHAM462	Secondary	gigabitethernet0/0/1	MEA	100000				FI01WPP1F3		HAMX01	DT WHOLESALE	0553081113				airporthubnet		APH
HAN	VIET NAM		PHAN122	Primary	gigabitethernet0/0/1	MEA	100000	10000			GO0AEPTT46		HANT03	-	POR00212				airporthubnet		APH
HAN	VIET NAM		PHAN123	Secondary	gigabitethernet0/0/1	MEA	100000	10000			FI0241E789		SGNT03	VIET NAM POSTS AND TELECOMMUNICATIONS INTERNATIONAL	POR00213				airporthubnet		APH
HAV1	CUBA		PHAV257	Primary	gigabitethernet0/1	MEA	1000000	30000			FI028YJH85		YULT01						airporthubnet		APH
HAV1	CUBA		PHAV257	Primary	serial0/1	FR	30720				FI023PX6CE		YULT01	ORANGE BUSINESS SERVICES	CA0D5EY1C9				airporthubnet		APH
HEL	FINLAND		PHEL407	Primary	fastethernet0/0/1	MEA	100000	20000	-	-	FI01JAQ490	KCPH515	CPHT02	GLOBALCONNECT	DGC-1025 NNI CPHT02				airporthubnet		APH
HEL	FINLAND		PHEL408	Secondary	fastethernet0/1	MEA	100000	20000	-	-	FI01JAQ591	KSTO626	STOX02	DGC ACCESS AB	CA0AH0JXDC				airporthubnet		APH
HEL	FINLAND		PHEL408	Secondary	gigabitethernet0/0/1	MEA	100000				FI01JAQ591		STOX02	GLOBALCONNECT	DGC-0896 NNI STOSTO270				airporthubnet		APH
HER	GREECE		PHER087	Primary	gigabitethernet0/0/1	MEA	10000	6000	-	-	FI01ZXSPA2	KATH612	ATHT04	OTE	21E1101379				airporthubnet		APH
HER	GREECE		PHER088	Secondary	gigabitethernet0/0/1	DSL	51200	15000			FI01ZXSRA0		LONX03	SELECT OFFNET	EVC00121278				airporthubnet		APH
HGH	CHINA		PHGH095	Primary	serial0/1/0	FR	1985						SHAS99						airporthubnet		APH
HGH	CHINA		PHGH096	Secondary	serial0/1/0	FR	1984				FI01SRDY97		BJSS02	CHINA TELECOM GLOBAL LIMITED	CA0BFNJXE7				airporthubnet		APH
HIJ	JAPAN		PHIJ076	Primary	gigabitethernet0/0/1	MEA	10000	3000	-	-	FI01TLQLC5	KOSA611	OSAT04	SOFTBANK TELECOM CORP	CNGZ-EQU-CTVPN53866A				airporthubnet		APH
HIJ	JAPAN		PHIJ077	Secondary	gigabitethernet0/0/1	DSL	8192	8192					TYOT04	Select Offnet					airporthubnet		APH
HKG	HONG KONG		PHKG1347	Primary	gigabitethernet0/0/1	MEA	1000000	200000	-	-	FI029R6MBA	KHKG550	HKGT01	HKBN ENTERPRISE SOLUTIONS HK LIMITED	7632043241				airporthubnet		APH
HKG	HONG KONG		PHKG1347	Primary	gigabitethernet0/1	MEA	100000	50000	-	-	FI01NS2K80	KHKG523	HKGT01						airporthubnet		APH
HKG	HONG KONG		PHKG1348	Secondary	gigabitethernet0/0/1	MEA	1000000	200000			FI029R6SA4		HKGX01						airporthubnet		APH
HKT	THAILAND		PHKT048	Primary	atm0	DSL	10000				FI01JTE3EA		SINX01	PCCW	CA0AK7UXCD				airporthubnet		APH
HKT	THAILAND		PHKT048	Primary	gigabitethernet0/2	MEA	10000	6000	-	-	FI029P97CF	KHKG550	HKGT01	Select Offnet					airporthubnet		APH
HKT	THAILAND		PHKT049	Secondary	gigabitethernet0/2	DSL	30720	30720	-	-	FI01JTE7EE	KXSP650	SINX01	PCCW	PKE(PCG) LV000528				airporthubnet		APH
HMO	MEXICO		PHMO034	Primary	gigabitethernet0/0/1	MEA	100000	16000			FI01TMFPDC		MTYL01						airporthubnet		APH
HMO	MEXICO		PHMO035	Secondary	gigabitethernet0/0/1	DSL	30720	4096			FI01TMFRDE		ATLL02	SELECT OFFNET	ORD-01654088				airporthubnet		APH
HND	JAPAN		PHND204	Primary	gigabitethernet0/1	MEA	100000	50000	-	-	FI028EHCC5	KOKO512	TYOT04	KDDI CORPORATION	E144689280				airporthubnet		APH
HND	JAPAN		PHND205	Secondary	gigabitethernet0/1	MEA	100000	50000	-	-	FI028EHDC2	KOSA612	OSAT04	NTT COMMUNICATIONS CORPORATION	N190070967				airporthubnet		APH
HNL	UNITED STATES		PHNL124	Primary	gigabitethernet0/0/0	MEA	100000	50000			FI029SKNBC		LAXL02	LUMEN TECHNOLOGIES LLC	CA/KFFN/088582/LVLC				airporthubnet		APH
HNL	UNITED STATES		PHNL125	Secondary	gigabitethernet0/0/1	MEA	100000	50000			FI029SKQA3		SJCL03	AT&T	L4GN906227				airporthubnet		APH
HNL	UNITED STATES		PHNL125	Secondary	gigabitethernet0/1	MEA	100000	50000			FI01JJGJD7		SEAL02						airporthubnet		APH
HPN	UNITED STATES		PHPN036	Primary	gigabitethernet0/0/1	MEA	100000	8000			FI01XRCU98		NYCT02	AT&T	KPGN923407				airporthubnet		APH
HPN	UNITED STATES		PHPN037	Secondary	gigabitethernet0/0/1	DSL	30720	20000			FI01PFQPE6		ATLL02	SELECT OFFNET	28KQGN747486SW				airporthubnet		APH
HRE	ZIMBABWE		PHRE249	Primary	gigabitethernet0/1	MEA	100000	2000			FI02983ACA		LONX03	SWISSCOM WHS					airporthubnet		APH
HRE	ZIMBABWE		PHRE250	Secondary	gigabitethernet0/1	MEA	100000	2000	-	-	FI01J1PXDF	KJNB514	JNBT01	CMC NETWORKS	afnet-eth-cpt-sita-crt1-cpt001				airporthubnet		APH
HRK	UKRAINE		PHRK035	Primary	gigabitethernet8	DSL	15000	1000					FRAX01	Select Offnet					airporthubnet		APH
HRK	UKRAINE		PHRK036	Secondary	gigabitethernet8	DSL	15000	1000			FI01LLGHC1		FRAT01	-	CA0AUWKD91				airporthubnet		APH
HYD	INDIA		PHYD121	Primary	gigabitethernet0/0/1	MEA	100000	20000			FI029M5XEE		HYDT04	BHARAT SANCHAR NIGAM LIMITED					airporthubnet		APH
HYD	INDIA		PHYD122	Secondary	gigabitethernet0/0/1	DSL	30720	30720			FI00M9FWF7		BOMT07	TATA TELESERVICES LIMITED	CA08C7N5D4				airporthubnet		APH
IAD	UNITED STATES		PIAD195	Primary	gigabitethernet4/0	MEA	1000000	50000			FI029TFLAF		PHLX01						airporthubnet		APH
IAD	UNITED STATES		PIAD196	Secondary	gigabitethernet4/0	MEA	1000000	10000			FI029TFQB2		IADL01						airporthubnet		APH
IAH	UNITED STATES		PIAH024	Primary	gigabitethernet0/0	MEA	10000	10000			FI014UFM94		DALL03	AT&T	CA0AU4WRCD				airporthubnet		APH
IAH	UNITED STATES		PIAH025	Secondary	gigabitethernet0/0	MEA	10000	10000			FI014UFL95		ATLL02	AMERICAN TELEPHONE AND TELEGRAPH COMPANY	L4GN904740				airporthubnet		APH
ICN	KOREA, REPUBLIC OF		PICN015	Primary	gigabitethernet0/0/1	MEA	100000	50000	-	-	FI029SUCB1	KSEL523	SELT02						airporthubnet		APH
ICN	KOREA, REPUBLIC OF		PICN016	Secondary	gigabitethernet0/0/1	MEA	100000	50000	4c:71:0c:2b:c8:c1	-	FI029SUDB6	KSEL516	SELX01						airporthubnet		APH
IEV	UKRAINE		PIEV694	Primary	gigabitethernet8	DSL	8192	2000			FI01M0WLCD		STOT02	SELECT OFFNET	CA0AU7E1A4				airporthubnet		APH
IEV	UKRAINE		PIEV700	Secondary	gigabitethernet8	DSL	15000	2000			FI01MP26F7		FRAT01	SELECT OFFNET	CA0C8A2KC4				airporthubnet		APH
IKT	RUSSIAN FEDERATION		PIKT028	Primary	gigabitethernet0/1	MEA	100000	1000			FI01MPPX99		MOWD01	ORANGE BUSINESS SERVICES	CID-006-079				airporthubnet		APH
IKT	RUSSIAN FEDERATION		PIKT029	Secondary	gigabitethernet0/1	MEA	100000	1000			FI01MPPC82		LEDD01	ORANGE BUSINESS SERVICES	CID-006-080				airporthubnet		APH
ISP-XS	UNITED STATES		PISP096	Primary	gigabitethernet0/0/1	MEA	100000	50000			FI028E39BF		NYCT02						airporthubnet		APH
ISP-XS	UNITED STATES		PISP097	Secondary	gigabitethernet0/0/1	DSL	100000	50000			FI01XD4SE9		ATLL02	SELECT OFFNET	CA0C8RW7D1				airporthubnet		APH
IST-IGA	TURKEY		PIST2118	Primary	gigabitethernet0/0/1	MEA	100000	30000	-	-	FI029N5EF9	KIZM511	IZMT01						airporthubnet		APH
IST-IGA	TURKEY		PIST2119	Secondary	gigabitethernet0/0/1	MEA	100000	30000	-	-	FI029N5FFA	KIST512	ISTT01	VODAFONE TURKEY	BL00074856SNG				airporthubnet		APH
JED	SAUDI ARABIA		PJED570	Primary	gigabitethernet0/0/1	MEA	100000	10000			FI029TVTB7		FRAT13	SAUDI TELECOMMUNICATION COMPANY					airporthubnet		APH
JED	SAUDI ARABIA		PJED571	Secondary	gigabitethernet0/0/1	MEA	100000	10000			FI029TVUB6		SIND03	-	449/WEV/89000/89000/4				airporthubnet		APH
JER	JERSEY		PJER051	Primary	gigabitethernet8	DSL	15000	2000			FI01LB8ZF4		LONX03	-	CA0ARJSKD3				airporthubnet		APH
JFK4	UNITED STATES		PJFK125	Primary	gigabitethernet0/0/1	MEA	100000				FI01DAF394		PHLX01	AT&T	CA0AQ7VTC2				airporthubnet		APH
JFK4	UNITED STATES		PJFK125	Primary	gigabitethernet0/1	MEA	100000	30000			FI029L8PE3		PHLX01						airporthubnet		APH
JFK7	UNITED STATES		PJFK127	Primary	gigabitethernet0/1	MEA	100000	50000			FI01HDC28B		NYCT02	AT&T	CA0AHNTPD0				airporthubnet		APH
JFK7	UNITED STATES		PJFK128	Secondary	gigabitethernet0/0/0	MEA	1000000				FI01HDDZE3		PHLX01	AT&T	L4GN.945812				airporthubnet		APH
JFK8	UNITED STATES		PJFK468	Primary	gigabitethernet0/1	MEA	1000000	4000			FI01TEH986		NYCT02	AMERICAN TELEPHONE AND TELEGRAPH COMPANY	L4GN996210				airporthubnet		APH
JFK8	UNITED STATES		PJFK468	Primary	gigabitethernet0/1/0	MEA	1000000	50000			FI029PM3CB		NYCT02	AT&T	L4GN996210				airporthubnet		APH
JFK8	UNITED STATES		PJFK469	Secondary	gigabitethernet0/0/0	MEA	1000000	50000			FI029PM5CD		PHLX01	AT&T	L4GN996650				airporthubnet		APH
JFK1	UNITED STATES		PJFK611	Primary	gigabitethernet0/0/1	MEA	1000000	30000			FI026N7BFE		NYCT02	VERIZON BUSINESS	PRCBB149190000987				airporthubnet		APH
JFK1	UNITED STATES		PJFK612	Secondary	gigabitethernet0/0/0	DSL	100000	100000			GO0BJECB11		NYCT02	AT&T	IUEC902799ATI				airporthubnet		APH
JIB	DJIBOUTI		PJIB057	Primary	gigabitethernet0/1	MEA	10000	2000	-	-	FI028PBMB6	KQQT610	LONX03	-	44RD RS6701 PQCB PVCB00				airporthubnet		APH
JIB	DJIBOUTI		PJIB058	Secondary	gigabitethernet0/1	DSL	8000	2000					LONT04	Select Offnet					airporthubnet		APH
JNB	SOUTH AFRICA		PJNB520	Primary	gigabitethernet0/1	MEA	100000	50000	-	-	FI01L84NFF	KJNB514	JNBT01	LIQUID TELECOMMUNICATIONS SOUTH AFRICA PTY LTD					airporthubnet		APH
JNB	SOUTH AFRICA		PJNB521	Secondary	gigabitethernet0/2	MEA	100000	50000	c0:8c:60:e3:e8:02	-	FI028ZYN89	KJNB515	JNBT02	TELKOM SA	12-00126-30				airporthubnet		APH
KBP	UKRAINE		PKBP046	Primary	gigabitethernet0/0/1	MEA	100000				FI02359NE8		IEVT02	DATAGROUP	CID: D452061				airporthubnet		APH
KBP	UKRAINE		PKBP047	Secondary	gigabitethernet0/0/1	DSL	16384	16384			FI00MRE1E8		FRAX01	INFOCOM	SITA.KYV.01.INT				airporthubnet		APH
KCH	MALAYSIA		PKCH039	Primary	gigabitethernet0/1	MEA	10000	1000	-	-	FI01LETBFD	KKUL525	KULT03	TELEKOM MALAYSIA	ME1019641533				airporthubnet		APH
KCH	MALAYSIA		PKCH040	Secondary	gigabitethernet0/1	DSL	20000	2000			FI01LETCFC		SINX01	TELEKOM MALAYSIA	WI1083603940				airporthubnet		APH
KEF	ICELAND		PKEF011	Secondary	gigabitethernet0/0/1	MEA	100000	50000	-	-	FI028D65B6	KZVL650	AMSX01	-	CA0BNEY5B0				airporthubnet		APH
KEF	ICELAND		PKEF012	Primary	gigabitethernet0/0/1	MEA	100000	50000			FI028D66B5		LONX03	SIMINN	CA0BNEZBC7				airporthubnet		APH
KHH	TAIWAN, PROVINCE OF CHINA		PKHH226	Secondary	gigabitethernet0/1	MEA	20480	20000			FI0194P7A8		TPET01	NTT TAIWAN LTD.	SSI00026/KGDI001				airporthubnet		APH
KHH	TAIWAN, PROVINCE OF CHINA		PKHH227	Primary	gigabitethernet0/1	MEA	100000	20000			FI021VERBD		TPET02	NTT TAIWAN LTD.	227E60696				airporthubnet		APH
KIN	JAMAICA		PKIN136	Primary	gigabitethernet0/1	MEA	100000	10000			FI028EZMCB		NYCT02	COLUMBUS NETWORKS	9697.CN				airporthubnet		APH
KIN	JAMAICA		PKIN137	Secondary	gigabitethernet0/1	MEA	100000	10000			FI01N0DCC2		MIAL02	COLUMBUS NETWORKS	8593.CN				airporthubnet		APH
KIX	JAPAN		PKIX064	Primary	gigabitethernet0/1	MEA	100000	20000			FI026NJ08C		OSAT04	KDDI CORPORATION					airporthubnet		APH
KIX	JAPAN		PKIX065	Secondary	gigabitethernet0/1	MEA	100000	20000			FI021PXRA9		SINX01	NTT COMMUNICATIONS CORPORATION	D796160001				airporthubnet		APH
KOA	UNITED STATES		PKOA030	Primary	gigabitethernet0/0/1	MEA	10000	10000			FI029AWFD8		LAXL02	AT&T	083113005730				airporthubnet		APH
KOA	UNITED STATES		PKOA031	Secondary	gigabitethernet0/0/1	DSL	16384	16384			GO09R7RJ69		SJCL03	SELECT OFFNET	15.KQGS.710099..HAWT				airporthubnet		APH
KRK	POLAND		PKRK4136	Primary	gigabitethernet0/0/1	MEA	10240	10000			GO03MH4ME4		KTWD01	ORANGE POLAND	CA0ARPN5F2				airporthubnet		APH
KRK	POLAND		PKRK4137	Secondary	gigabitethernet0/0/1	DSL	8000	8000			GO03MH4990		FRAT01	-	0269228105				airporthubnet		APH
KRR	RUSSIAN FEDERATION		PKRR066	Primary	gigabitethernet0/1	MEA	1000000	2000	-	-	FI01SP38F9	KMOW611	MOWX03	ORANGE BUSINESS SERVICES	CID-008-283				airporthubnet		APH
KRR	RUSSIAN FEDERATION		PKRR067	Secondary	gigabitethernet0/1	MEA	1000000	2000			FI027823BB		LEDT02						airporthubnet		APH
KRT1	SUDAN		PKRT180	Standalone	serial0/1	FR	10000				GO0B5V8K77		LONT04	-	CA0DK7MX89				airporthubnet		APH
KRT	SUDAN		PKRT217	Standalone	gigabitethernet0	MEA	10000	4000			FI029KAWF5		NBOT04						airporthubnet		APH
KSC	SLOVAKIA		PKSC056	Primary	gigabitethernet8	DSL	2048	512			FI01K4P8A2		FRAX01	Select Offnet	CA0EF75R97				airporthubnet		APH
KSC	SLOVAKIA		PKSC057	Secondary	gigabitethernet8	DSL	2048	512			FI01K4NVCC		FRAT01	-	CA0AKCUME0				airporthubnet		APH
KTM2	NEPAL		PKTM162	Primary	gigabitethernet0/0/1	MEA	100000	3000			FI01SERJF6		KTMD01	PCCW	SIT011-79783-L3W				airporthubnet		APH
KTM2	NEPAL		PKTM163	Secondary	gigabitethernet0/0/1	DSL	8192	3000			FI01SF1BF4		HKGX01	PCCW	S237-K01-01				airporthubnet		APH
KTW	POLAND		PKTW3990	Primary	gigabitethernet8	DSL	10000	1000					FRAX01	ORANGE POLAND					airporthubnet		APH
KTW	POLAND		PKTW3991	Secondary	gigabitethernet8	DSL	10000	1000					FRAX01	ORANGE POLAND					airporthubnet		APH
KUL	MALAYSIA		PKUL513	Primary	gigabitethernet0/0/1	MEA	100000	20000	-	-	FI00ZX2CA6	KKUL524	KULT03	TIME TELEKOM SB	ME002018				airporthubnet		APH
KUL	MALAYSIA		PKUL514	Secondary	atm2/0	ATM	33920				FI01Z05EC4		KULT05	TELEKOM MALAYSIA	CA0CC1ARFB				airporthubnet		APH
KUL	MALAYSIA		PKUL514	Secondary	gigabitethernet0/2	MEA	100000	40000			FI01Z05EC4		KULT05	TELEKOM MALAYSIA	ME1032383612				airporthubnet		APH
KWI	KUWAIT		PKWI377	Primary	gigabitethernet0/0/1	MEA	100000	6000			FI028AJND3		LONX03						airporthubnet		APH
KWI	KUWAIT		PKWI378	Secondary	gigabitethernet0/0/1	MEA	100000	6000	-	-	FI028AKTC9	KCAI611	CAIT06						airporthubnet		APH
LAD	ANGOLA		PLAD281	Primary	gigabitethernet0/0/1	MEA	10000	6000			FI026RV9CE		LONX03	CMC NETWORKS	OBC				airporthubnet		APH
LAD	ANGOLA		PLAD283	Secondary	gigabitethernet0/0/1	MEA	10000	4000	-	-	FI01QXV9C8	KLAD611	LADT04	ANGOLA TELECOM	CA0B8KFVF2				airporthubnet		APH
LAP	MEXICO		PLAP007	Primary	gigabitethernet0/0/1	MEA	10000	4000			FI01TQCS94		MTYL01	AXTEL S.A. DE C.V.	ETAA000250522				airporthubnet		APH
LAP	MEXICO		PLAP008	Secondary	gigabitethernet0/0/1	DSL	8192	4000			FI01TQCV91		ATLL02	SELECT OFFNET	7553				airporthubnet		APH
LAXB	UNITED STATES		PLAX656	Primary	gigabitethernet0/0/1	MEA	100000	50000			FI029FADCB		LAXL02						airporthubnet		APH
LAXB	UNITED STATES		PLAX657	Secondary	gigabitethernet0/0/3	MEA	100000	50000			FI029FAJC5		SJCL03						airporthubnet		APH
LAX2	UNITED STATES		PLAX817	Primary	fastethernet2/0	MEA	1000000	100000			FI028WAAAB		LAXL02	AT&T	NAS/CCL-NAS/EQT24N143				airporthubnet		APH
LAX2	UNITED STATES		PLAX818	Secondary	gigabitethernet0/1	MEA	100000	100000			FI028WAFAC		SJCL03	AT&T	L4GN906227				airporthubnet		APH
LBV	GABON		PLBV144	Primary	gigabitethernet0/0/1	MEA	10000	2000			FI023VV2DE		LONX03	-	glnet-eth-uk-sita-crt3-tel001				airporthubnet		APH
LBV	GABON		PLBV145	Secondary	gigabitethernet0/0/1	DSL	8192	8192			FI01ZA3ZFD		FRAX01	SELECT OFFNET	104693550				airporthubnet		APH
LCA	CYPRUS		PLCA100	Primary	gigabitethernet0/2	MEA	10000	6000			FI027VWCAC		LONX03						airporthubnet		APH
LCA	CYPRUS		PLCA101	Secondary	gigabitethernet0/2	MEA	10000	6000	-	-	FI027VWJA5	KZRB650	FRAX01						airporthubnet		APH
LCY	UNITED KINGDOM		PLCY116	Primary	serial1/0	FR	2048				FI01XP7E87		LONT04	VODAFONE CARRIER SERVICES	CA0C6RUZBF				airporthubnet		APH
LCY	UNITED KINGDOM		PLCY117	Secondary	serial1/0	FR	2048				FI01XMUHC4		LONX03	VODAFONE CARRIER SERVICES	M1412878A				airporthubnet		APH
LED	RUSSIAN FEDERATION		PLED188	Primary	gigabitethernet0/0/1	MEA	100000	20000	-	-	FI01G2ASDD	KLED510	LEDT02	ORANGE BUSINESS SERVICES					airporthubnet		APH
LED	RUSSIAN FEDERATION		PLED189	Secondary	gigabitethernet0/0/1	MEA	1000000	20000	-	-	FI026TV8DB	KMOW611	MOWX03						airporthubnet		APH
LEJ	GERMANY		PLEJ347	Primary	gigabitethernet0/0/1	MEA	1000000	2048			FI029QNLB1		BERT02	DT WHOLESALE	447/WEV/34204/34100/2V				airporthubnet		APH
LEJ	GERMANY		PLEJ348	Secondary	gigabitethernet0/0/1	DSL	16384	8192			FI01T87180		FRAT01	SELECT OFFNET	OR-224118				airporthubnet		APH
LFW	TOGO		PLFW101	Primary	serial0/0/0:1	FR	2048				FI01QCRAEA		LONX03	TOGO TELECOMS	LOME RP-AFIDENYIGBAN WACS-LONDRES				airporthubnet		APH
LFW	TOGO		PLFW118	Secondary	gigabitethernet0/1	DSL	8192	2000			FI01U0ZMCC		LONT04	Select Offnet	CMC1705228				airporthubnet		APH
LGA	UNITED STATES		PLGA070	Primary	gigabitethernet0/2/0	MEA	1000000	50000			FI023GLHC2		NYCT02	AT&T	SSE00077/UFAI001				airporthubnet		APH
LGA	UNITED STATES		PLGA071	Secondary	gigabitethernet0/1/0	MEA	1000000	50000			FI023GLNC4		PHLX01	AT&T	32KFGS223119NY				airporthubnet		APH
